date;HPI
2002K4;59.8
2003K1;60.7
2003K2;62.0
2003K3;63.1
2003K4;63.3
2004K1;65.4
2004K2;68.3
2004K3;70.5
2004K4;72.2
2005K1;75.5
2005K2;79.5
2005K3;85.6
2005K4;91.2
2006K1;97.7
2006K2;103.6
2006K3;105.7
2006K4;104.6
2007K1;105.0
2007K2;106.4
2007K3;106.6
2007K4;104.6
2008K1;103.2
2008K2;103.6
2008K3;100.9
2008K4;93.0
2009K1;87.1
2009K2;88.2
2009K3;88.9
2009K4;88.5
2010K1;89.1
2010K2;91.0
2010K3;91.7
2010K4;90.8
2011K1;89.9
2011K2;91.9
2011K3;88.9
2011K4;85.7
2012K1;85.7
2012K2;87.0
2012K3;87.3
2012K4;86.9
2013K1;88.0
2013K2;91.2
2013K3;91.2
2013K4;89.9
2014K1;91.2
2014K2;94.7
2014K3;94.2
2014K4;93.8
2015K1;94.5
2015K2;100.2
2015K3;102.6
2015K4;102.8
2016K1;99.3
2016K2;104.2
2016K3;107.7
2016K4;107.1
2017K1;105.3
2017K2;109.8
2017K3;112.3
2017K4;111.6
2018K1;111.6
2018K2;115.9
2018K3;116.1
2018K4;114.7
2019K1;114.9
2019K2;117.5
2019K3;118.7
2019K4;117.5
2020K1;118.3
2020K2;120.8
2020K3;123.7
2020K4;126.0
2021K1;129.0
2021K2;136.2
2021K3;139.8
2021K4;140.1
2022K1;141.5
2022K2;144.0
2022K3;144.4
2022K4;141.0
2023K1;135.1
2023K2;135.7
2023K3;138.1
2023K4;140.3
2024K1;136.7
2024K2;140.9
2024K3;144.4
