date;Beskæftigelse
2008K1;76.7
2008K2;76.3
2008K3;76.2
2008K4;76.0
2009K1;75.1
2009K2;73.7
2009K3;73.2
2009K4;72.1
2010K1;71.9
2010K2;71.9
2010K3;71.9
2010K4;71.7
2011K1;71.8
2011K2;71.8
2011K3;71.7
2011K4;71.4
2012K1;71.4
2012K2;71.0
2012K3;70.8
2012K4;71.0
2013K1;71.1
2013K2;70.7
2013K3;70.6
2013K4;70.6
2014K1;70.5
2014K2;70.8
2014K3;71.3
2014K4;71.6
2015K1;71.9
2015K2;71.9
2015K3;71.8
2015K4;72.2
2016K1;72.5
2016K2;72.8
2016K3;73.0
2016K4;73.0
2017K1;72.9
2017K2;73.0
2017K3;73.4
2017K4;73.7
2018K1;73.8
2018K2;74.1
2018K3;74.4
2018K4;74.3
2019K1;74.6
2019K2;74.9
2019K3;75.2
2019K4;75.3
2020K1;75.3
2020K2;73.8
2020K3;74.1
2020K4;74.6
2021K1;74.0
2021K2;75.5
2021K3;75.9
2021K4;76.7
2022K1;76.4
2022K2;76.9
2022K3;77.0
2022K4;77.0
2023K1;76.9
2023K2;76.3
2023K3;76.4
2023K4;76.8
2024K1;77.4
2024K2;77.5
2024K3;77.2
2024K4;76.9
